Line #,Key,en Version,ru Translation
510,ru.notification.contact.errors.text_missing,Message text is blank,""
511,ru.notification.contact.errors.skynet_detected,Oops,""
512,ru.errors.oops,Oops!,""
513,ru.errors.not_found,404 Page Not Found,""
514,ru.errors.server_error,500 Internal server error,""
515,ru.errors.404_sorry,"Sorry, the requested page has not been found!",""
516,ru.errors.500_sorry,"Sorry, there's been a server error. Please try again later.",""
517,ru.errors.faq_label,Frequently Asked Questions,""
518,ru.errors.have_questions_html,"Have questions? Click here to view our %{link}. For further assistance, please contact 0 800 900 902.",""
519,ru.errors.ws_error,"Sorry, a server error occurred. Please refresh this page.",""
520,ru.errors.try_again,"Something went wrong, try again later",""
521,ru.config.not_authorized,You are not allowed go to that page.,""
