"რეგიონი","Region","ქუჩის ნომერი","Street Number","ბინის ნომერი,ბლოკი, კვარტალი, შესახვევი","Unit, Block","ქუჩის დასახელება","Street Name","ქალაქი/მუნიციპალიტეტი","city/municipality","სოფელი","Village","ელ-ფოსტა","Emails
(separated by |)","საკონტაქტო ინფორმაცია","Phone numbers
(separated by |)","სერვისის დასახელება","Service Type & Description","სერვისის განმახორცილებელი","Service Provider","დაფინანსების წყარო","Source of Funding","სტატუსი","Beneficiary","მშობელთა მხარდაჭერა","Parental Support",,"Type of Program","ბენეფიციარების ასაკი",
"კახეთი","Kakheti",20,20,,,"ფალიაშვილის",,"თელავი","Telavi",,,,,"593 33 42 24","593 33 42 24","• შშმ ბავშვთა ხელშეწყობას ინკლუზიური განათლებისათვის.
მძიმე და ღრმა გონებრივი განვითარების შეფერხების მქონე შეზღუდული შესაძლებლობის ბავშვების მომსახურების მიმწოდებლად დარეგისტრირებული დღის ცენტრის მომსახურება დამატებით მოიცავს:
• ყოველდღიურად (შაბათ-კვირისა და უქმე დღეების გარდა) 6 საათის განმავლობაში მომსახურებას;
• ბენეფიციარის ფსიქო-მოტორული განვითარების და სოციალური უნარების შეფასებას სპეციალური მეთოდოლოგიით, რომელიც მოიცავს შეფასების ინსტრუმენტსა და ბავშვთან მუშაობის გზამკვლევს;
• ბენეფიციარის შეფასება და რეაბილიტაცია/აბილიტაციის გეგმის შემუშავება/განხორციელება ხდება მულტიდისციპლინური გუნდის მიერ, შემდეგი სპეციალისტების ჩართულობით: ფსიქოლოგი, პედიატრი, ოკუპაციური თერაპევტი, სპეციალური განათლების მასწავლებელი, მომვლელი;
• ფსიქოლოგიური მომსახურების და ოკუპაციური თერაპიის უზრუნველყოფას დღის ცენტრის ფარგლებში;
• ბენეფიციართა ვერბალური/ალტერნატიული კომუნიკაციის განვითარების ხელშეწყობას;
• ბენეფიციარის დახმარებას კვების, საპირფარეშოს, პირადი ჰიგიენის დაცვის პროცესში;
• ბენეფიციართა ქცევითი დარღვევების შეფასებას და ქცევის მართვის სპეციალიზებული გეგმის შემუშავებას და განხორციელებას. მშობლებისთვის შესაბამისი რეკომენდაციების მიწოდებას ბავშვის ქცევის სწორად მართვის მიზნით. (რთული ქცევის მართვის პროგრამაში მონაწილეობენ დღის ცენტრის თანამშრომლები, მშობლები, ბენეფიციარის განვითარების პროცესში ჩართული სხვა პირები. რთული ქცევის მართვის პროგრამა დგება ქცევის გამოვლენიდან 30 დღეში. პროგრამის გადასინჯვა ხორციელდება 3 თვეში ერთხელ);
• ბენეფიციართა ცენტრებში მიყვანისა და შინ დაბრუნების ტრანსპორტით უზრუნველყოფას.
","Promoting inclusive education for children with disabilities on a daily basis (except weekends and holidays) 6 hours a day service; Beneficiary’s psycho-motor development and social skills assessment by a special methodology, which includes the assessment instruments and guidelines for working with the child; Developing a plan for beneficiary’s assessment and rehabilitation / habilitation / - implementation is done by a multidisciplinary team, with the involvement of the following specialists: psychologist, pediatrician, occupational therapist, special education teacher, caregiver; Psychological and occupational therapy services provided within the framework of the day care center; Supporting beneficiaries’ verbal / alternative communication development. Assisting beneficiaries in the process of eating, toilet, personal hygiene. Assessment of beneficiaries' behavioral disorders and development and implementation of behavior management plan. Appropriate recommendations for parents to properly manage the child's behavior. (in the program of managing complex behavior participate: the staff of the day care center, parents, other people involved in the beneficiaries development process. The complex behavior management program is drawn up within 30 days after it is revealed. The program is reviewed in every 3 months). Provides transportation of the beneficiaries to the center and home.","საქართველოს საზოგადოებრივიინტერესების დაცვის ასოციაცია",,"სახელმწიფო","State","შშმ ","Disability",,,,"State","6-18","6-18"
"კახეთი","Kakheti",2,2,,,"ალადაშვილის","Aladashvili","თელავი","Telavi",,,,,"599 50 21 27","599 50 21 27","• შშმ ბავშვთა ხელშეწყობას ინკლუზიური განათლებისათვის.
მძიმე და ღრმა გონებრივი განვითარების შეფერხების მქონე შეზღუდული შესაძლებლობის ბავშვების მომსახურების მიმწოდებლად დარეგისტრირებული დღის ცენტრის მომსახურება დამატებით მოიცავს:
• ყოველდღიურად (შაბათ-კვირისა და უქმე დღეების გარდა) 6 საათის განმავლობაში მომსახურებას;
• ბენეფიციარის ფსიქო-მოტორული განვითარების და სოციალური უნარების შეფასებას სპეციალური მეთოდოლოგიით, რომელიც მოიცავს შეფასების ინსტრუმენტსა და ბავშვთან მუშაობის გზამკვლევს;
• ბენეფიციარის შეფასება და რეაბილიტაცია/აბილიტაციის გეგმის შემუშავება/განხორციელება ხდება მულტიდისციპლინური გუნდის მიერ, შემდეგი სპეციალისტების ჩართულობით: ფსიქოლოგი, პედიატრი, ოკუპაციური თერაპევტი, სპეციალური განათლების მასწავლებელი, მომვლელი;
• ფსიქოლოგიური მომსახურების და ოკუპაციური თერაპიის უზრუნველყოფას დღის ცენტრის ფარგლებში;
• ბენეფიციართა ვერბალური/ალტერნატიული კომუნიკაციის განვითარების ხელშეწყობას;
• ბენეფიციარის დახმარებას კვების, საპირფარეშოს, პირადი ჰიგიენის დაცვის პროცესში;
• ბენეფიციართა ქცევითი დარღვევების შეფასებას და ქცევის მართვის სპეციალიზებული გეგმის შემუშავებას და განხორციელებას. მშობლებისთვის შესაბამისი რეკომენდაციების მიწოდებას ბავშვის ქცევის სწორად მართვის მიზნით. (რთული ქცევის მართვის პროგრამაში მონაწილეობენ დღის ცენტრის თანამშრომლები, მშობლები, ბენეფიციარის განვითარების პროცესში ჩართული სხვა პირები. რთული ქცევის მართვის პროგრამა დგება ქცევის გამოვლენიდან 30 დღეში. პროგრამის გადასინჯვა ხორციელდება 3 თვეში ერთხელ);
• ბენეფიციართა ცენტრებში მიყვანისა და შინ დაბრუნების ტრანსპორტით უზრუნველყოფას.• საჭიროების შემთხვევაში - ამბულატორიული სამედიცინო და ფსიქოლოგიური მომსახურების ორგანიზება
","Promoting inclusive education for children with disabilities on a daily basis (except weekends and holidays) 6 hours a day service; Beneficiary’s psycho-motor development and social skills assessment by a special methodology, which includes the assessment instruments and guidelines for working with the child; Developing a plan for beneficiary’s assessment and rehabilitation / habilitation / - implementation is done by a multidisciplinary team, with the involvement of the following specialists: psychologist, pediatrician, occupational therapist, special education teacher, caregiver; Psychological and occupational therapy services provided within the framework of the day care center; Supporting beneficiaries’ verbal / alternative communication development. Assisting beneficiaries in the process of eating, toilet, personal hygiene. Assessment of beneficiaries' behavioral disorders and development and implementation of behavior management plan. Appropriate recommendations for parents to properly manage the child's behavior. (in the program of managing complex behavior participate: the staff of the day care center, parents, other people involved in the beneficiaries development process. The complex behavior management program is drawn up within 30 days after it is revealed. The program is reviewed in every 3 months). Provides transportation of the beneficiaries to the center and home.","შპს ბავშვთა ჯანმრთელობის ცენტრი","LTD Children's Health Centre","სახელმწიფო","State","შშმ ","Disability","ახორციელებს",,,"State","6-18","6-18"
"კახეთი","Kakheti",,,,,,,"სიღნაღი","Signagi","ბოდბისხევი","Bodbiskhevi",,,,,"სათემო ორგანიზაციის ქვეპროგრამა.თავშესაფარის ტიპის სახლი, სადაც ხდება შშმ პირების დახმარება საცხოვრებლით და საკვებით.","Community organizations sub-program. Shelter homes, where people with disabilities are assisted with housing and food.","""თაობათა კერა""","Hearth of Generations","სახელმწიფო","State","შშმ ","Disability",,,,"State","14-29","14-29"
"კახეთი","Kakheti",23,23,,,"ნინოშვილის","Ninoshvili","სიღნაღი","Signagi","ქედელის დასახლება","Kedelebi District",,,"593 68 67 18 ","593 68 67 18 ","ბენეფიციართა ცენტრებში მიყვანისა და შინ დაბრუნების ორგანიზებას (ბენეფიციარის ტრანსპორტირებას ან სამგზავრო ხარჯების დაფინანსებას, რომელიც დადასტურებული იქნება ბენეფიციარის/კანონიერი წარმომადგენლის/მინდობით აღმზრდელის ხელმოწერით);
• წლიური ინდივიდუალური აბილიტაციის და/ან რეაბილიტაციის პროგრამის შედგენას (ერთხელ, მიუხედავად მომსახურების მიმწოდებლის შესაძლო ცვლილებისა), განხორციელებას და განახლებას;
• შშმ ბავშვთა ხელშეწყობას ინკლუზიური განათლებისათვის.
მძიმე და ღრმა გონებრივი განვითარების შეფერხების მქონე შეზღუდული შესაძლებლობის ბავშვების მომსახურების მიმწოდებლად დარეგისტრირებული დღის ცენტრის მომსახურება დამატებით მოიცავს:
• ყოველდღიურად (შაბათ-კვირისა და უქმე დღეების გარდა) 6 საათის განმავლობაში მომსახურებას;
• ბენეფიციარის ფსიქო-მოტორული განვითარების და სოციალური უნარების შეფასებას სპეციალური მეთოდოლოგიით, რომელიც მოიცავს შეფასების ინსტრუმენტსა და ბავშვთან მუშაობის გზამკვლევს;
","Transportation of beneficiaries to the Centre and back home (transportation or traveling costs of beneficiaries, that will be confirmed by the beneficiary’s / legal representative’s / foster caregiver’s signature);
•  Drawing up, implementation and updating  annual individual habilitation and / or rehabilitation program (one-time, regardless the change of the service provider);
• Promoting inclusive education for children with disabilities.
Service provider’s service for day care center for  disabled children with severe and profound mental retardation includes:
•  Every-day service (except weekends and holidays) for 6 hours;
• Assessment of beneficiaries’ psycho-social development and social skills with specific methodology, which includes tools for children assessment and guidelines for working with children.

","""სიღნაღის რეგიონის სოციალურად უმწეოთა თერაპიის კავშირი""","Socially Vulnerable People of Sighnaghi Regional Therapy Union","სახელმწიფო","State","შშმ ","Disability","ახორციელებს","Implements",,"State","6-18","6-18"
"კახეთი","Kakheti",,,,,,,"სიღნაღი","Signagi ","საქობო","Sakobo",,,"599 96 55 70 | 577 47 84 78","599 96 55 70 | 577 47 84 78"," ბენეფიციარის დახმარებას კვების, საპირფარეშოს, პირადი ჰიგიენის დაცვის პროცესში; • ბენეფიციართა ქცევითი დარღვევების შეფასებას და ქცევის მართვის სპეციალიზებული გეგმის შემუშავებას და განხორციელებას. მშობლებისთვის შესაბამისი რეკომენდაციების მიწოდებას ბავშვის ქცევის სწორად მართვის მიზნით. (რთული ქცევის მართვის პროგრამაში მონაწილეობენ დღის ცენტრის თანამშრომლები, მშობლები, ბენეფიციარის განვითარების პროცესში ჩართული სხვა პირები. რთული ქცევის მართვის პროგრამა დგება ქცევის გამოვლენიდან 30 დღეში. პროგრამის გადასინჯვა ხორციელდება 3 თვეში ერთხელ);"," Assisting beneficiaries in nutrition, toilet, and personal hygiene process. Assesment of beneficiaries' behavioral disorders and development and implementation of specialized behavioral management plan. Appropriate recommendations for parents to properly manage the child's behavior (in the program of managing complex behavior participate: the staff of the day care center, parents, other people involved in the beneficiaries development process. The complex behavior management program is drawn up within 30 days after it is revealed. The program is reviewed once in every 3 months). Provides transportation of the beneficiaries to the center and home.","ა(ა)იპ  ბროწლიანის სათემო სახლი","NPLE Brotsiliani Community House","სახელმწიფო","State","შშმ ","Disability",,,,"State","6-18","6-18"
"კახეთი","Kakheti",,,,,,,"ყვარელი","Kvareli",,,,,"597 28 07 70","597 28 07 70","ახალგაზრდების, მათ შორის შშმ პირების მუსიკალური აქტივობა","Musical activities for young people, including people with disabilities. ","სამუსიკო სკოლების გაერთიანება""","Union of Music School","მუნიციპალური ","Municipal",,,,,,"Municipal","6-18","6-18"
"კახეთი","Kakheti",1,1,,," ჯანელიძის","Janelidze","ლაგოდეხი","Lagodekhi",,,"nunu.nozadze@mail.ru","nunu.nozadze@mail.ru","577 13 50 53","577 13 50 53","მკვეთრად შეზღუდული შესაძლებლობების მქონე (პირველი ჯგუფის ინვალდთა) პირთა და შეზღუდული შესაძლებლობების სტატუსი მქონე ბავშვთა ოჯახების დახმარება.","Assistance of people with severe forms of disability (1st group), and families with disabled children. ","ლაგოდეხის მუნიციპალიტეტის საზ.ჯანდაცვის სამსახური","Public Healthcare Service of Lagodekhi Municipality","მუნიციპალური ","Municipal",,,,,,"Municipal","0-18","0-18"
"კახეთი","Kakheti",9,9,,,"დ. აღმაშენებლის","D. Agmashenebeli","საგარეჯო","Sagarejo",,,"sagarejo-gamgeoba@hotmail.com","sagarejo-gamgeoba@hotmail.com","351 24 33 20 |   577 60 59 45","351 24 33 20 |   577 60 59 45","ავადმყოფთა და შეზღუდული შესაძლებლობის; მქონე პირთა სოციალური დაცვა. ამბულატორიული მომსახურების პროგრამა, რომელიც უზრუნველყოფს ფულად ანაზღაურებას.","Social security of sick and disabled persons. Outpatient Services Program, which provides monetary compensation.","საგარეჯოს გამგეობა","Sagarejo Governance","მუნიციპალური ","Municipal","შშმ ","Disability",,,,"Municipal","0-29","0-29"
"კახეთი","Kakheti",2,2,,,"აღმაშენებლის მოედანი","Agmashenebeli square","სიღნაღი","Signagi",,,"signagi_gamgeoba@yahoo.com","signagi_gamgeoba@yahoo.com","599 85 55 72","599 85 55 72","შშმ პირების დახმარება, საჭირო ინვენტარით. დიალეზის პროგრამა, ტრანსპორტირებით უზრუნველყოფა","Assistance of disabled individuals with necessary equipment. Dialysis program, which provides transportation","სიღნაღის გამგეობა","Sighnaghi Governance","მუნიციპალური ","Municipal","შშმ ","Disability",,,,"Municipal","0-29","0-29"
"კახეთი","Kakheti",16,16,,,"ერეკლე II გამზირი","Erekle II Avenue","თელავი","Telavi",,,"georgeenukidze@gmail.com","georgeenukidze@gmail.com","599 93 32 13","599 93 32 13","ინვალიდი ბავშვების სადღესასწაულო დღეებთან დაკავშირებული დახმარების პროგრამა","Holidays assistance program for disabled children. ","თვითმმართველი თემის თელავის მუნიციპალიტეტი","Telavi Municipality of Self-governing community","მუნიციპალური ","Municipal","შშმ ","Disability",,,,"Municipal","0-18","0-18"
"კახეთი","Kakheti",19,19,,,"სტალინის","Stalini","სიღნაღი","Signagi","წნორი","Tsnori",,,"595 54 07 18","595 54 07 18"," ბავშვების დახმარება ინვენტარით და სოციალურად დაუცველი მოსახლეობის ჰუმანიტარული დახმარება. ცენტრი ეხმარება შშმ ბავშვებს სოციალიზაციის პროცესში, ასევე სოციალურად დაუცველ პირებს და მენტალური პრობლემების მქონე პირებს. ტარდება სხვადასხვა გაკვეთილები სადაც აღნიშნულ პირებს შეუძლიათ მიიღონ ფსიქოლოგის უფასო კონსულტაცია.","Assistance of children with inventory, and humanitarian aid for socially vulnerable people. The center facilitates the disabled people in socialization process, as well as socially vulnerable people and individuals with mental disorders. Various lessons are carried out, where these persons may receive free consultation by psychologist.",""" მრავალშვილიან დედათა და ინვალიდ ბავშვთა ასოციაია""","Association of Mothers of Large Families and Disabled Children","კერძო","Private","შშმ ","Disability","ახორციელებს","Implements",,"Private","0-29","0-29"
"კახეთი","Kakheti",15,15,,,"ბართაშვილის","Baratashvili ","სიღნაღი","Signagi",,,"signagi@heim.ge","signagi@heim.ge","599 23 09 38","599 23 09 38","მენტალური პრობლემების მქონე ბავშვების დახმარება, მათი თერაპია. ბავშვთა სოციალური რეაბილიტაცია, ინკლუზიური განათლება, ცენტრი ახორციელებს სხვადასხვა მუსიკალურ აქტივობებს შშმ ბავშვების მონაწილეობით.","Assistance of children with mental disorders, their therapy. Social rehabilitation of children, inclusive education. The center develops and implements musical activities with participation of disabled children. ","სოციალურად უმწეოთა თერაპიის კავშირი ""ქედელი""","Therapy Union for Socially Vulnerable - Kedeli","კერძო","Private","შშმ ","Disability",,,,"Private","0-6","0-6"
"კახეთი","Kakheti",14,14,,,"კოსტავას","Kostava","ლაგოდეხი","Lagodekhi",,,"office@gcda.org.ge","office@gcda.org.ge","551 55 02 44","551 55 02 44","სოციალურად დაუცველი მოსახლეობის გააქტიურებისა და მათი ინტერესების ხელისუფლების ორგანოებში ადვოკატირების კუთხით. ასოციაციაციის მიერ გააქტიურებული სოციალურად დაუცველი მოსახლეობის მონაწილეობით კახეთის რეგიონის რამდენიმე მუნიციპალიტეტში შემუშავდა მოსახლეობის ჯანმრთელობისა და სოციალური დაცვის ახალი პროგრამები, რაც ხელს უწყობს სოციალურ სფეროში ეფექტური, სამართლიანი და გამჭვირვალე პოლიტიკის დამკვიდრებას. ორგანიზაციის სამიზნე ჯგუფებს წარმოადგენენ უკიდურესად გაჭირვებული ოჯახები, შეზღუდული შესაძლებლობების მქონე პირები, მარტოხელა დედები, მარჩენალდაკარგული და მრავალშვილიანი ოჯახები. ასოციაცია განსაკუთრებით აქტიურად მუშაობს სოციალურად დაუცველ ახალგაზრდულ ჯგუფებთან, ზრუნავს მათ არაფორმალურ განათლებაზე, ხელს უწყობს ბაზრის მოთხოვნათა შესაბამისი უნარებისა და ცოდნის გადაცემაზე.","
In the direction of making the socially vulnerable population active and advocating their interests in government bodies. With the involvement of activated vulnerable population the new public healthcare and social programs have been developed in several municipalities of Kakheti region, which contributes to establishment of effective, fair and transparent practices in social field. The target groups of the organization are extremely poor families, persons with disabilities, single mothers, families with many children, and families that have lost breadwinners. The Association actively works with vulnerable youth groups, takes care of their non-formal education, promotes the transfer of  market oriented skills and knowledge.
","""საქართველოს სამოქალაქო განვითარების ასოციაცია""","Association Civil Development of Georgia","კერძო","Private",,,,,,"Private","0-29","0-29"
"იმერეთი","Imereti",61,61,,,"ზ.ანჯაფარიძის","Anjaparidze","ქუთაისი ","Kutaisi",,,,,"431 22 55 62 | 577 78 83 01","431 22 55 62 | 577 78 83 01",,"Offers a range of professional training courses open to persons with disability","საზოგადოებრივი კოლეჯი ""იბერია""","Community College Iberia","სახელმწიფო","State",,,,,,"State","14-29","14-29"
"იმერეთი","Imereti",80,80,,,"რუსთაველის","Rustaveli","ბაღდათი","Bagdati",,,,,"577 788 306","577 788 306",,"Offers a range of professional training courses open to persons with disability","საზოგადოებრივი კოლეჯი ""იბერია""","Community College Iberia","სახელმწიფო","State",,,,,,"State","14-29","14-29"
"იმერეთი","Imereti",2,2,,,"რუსთაველის"," Rustaveli","ქუთაისი","Kutaisi",,,"ibalanshin@gmail.com","ibalanshin@gmail.com","577 38 23 70","577 38 23 70","ემოციური და ქცევითი დარღვევების მქონე სკოლის მოსწავლეების ფსიქო-სოციალური დახმარება.","Psycho-social assistance to the schoolchildren with emotional and behavioral disorders. ","სსიპ მანდატურის სამსახურის ფსიქოლოგიური მომსახურეობის ქუთაისის ცენტრი","LEPL Office of Resource Officers Psychological Service Centre of Kutaisi","სახელმწიფო","State",,,"ახორციელებს","Implements",,"State","6-18","6-18"
"იმერეთი","Imereti",26,26,,," ჩეჩელაშვილის ","Chechelashvili","ქუთაისი","Kutaisi",,,"info@ssa.gov.ge","info@ssa.gov.ge","431 29 04 36 | 591 91 95 61","431 29 04 36 | 591 91 95 61","თერჯოლის შშმ დღის ცენტრი.  პროგრამის ამოცანაა სამიზნე ჯგუფის ოჯახების მხარდაჭერა და მიტოვების პრევენცია.","Terjola's Day care centre for Disabled People. The task of the program is to support target group families and prevent abadnonment. ","ა(ა)იპ სარეაბილიტაციო სასწავლო ცენტრი ""იმედის სხივი""","LEPL Rehabilitation-Education Centre Beam of Hope","სახელმწიფო","State","შშმ ","Disability",,,,"State","6-18","6-18"
"თბილისი","Tbilisi",4,4,,," აბასთუმნის","Abastumani",,,,,"bavShvi@caucasus.net","bavShvi@caucasus.net","577 40 54 03","577 40 54 03","მიუსაფარ ბავშვთა თავშესაფრით უზრუნველყოფის ქვეპროგრამის ფარგლებში კრიზისული ინტერვენცის თავშესაფარი და ტრანზიტული ცენტრი","Subprogram - providing shelter for homeless children. The task of the subprogram is psycho-social rehabilitation and integration of homeless children.","ა(ა)იპ ""ბავშვი და გარემო""","LEPL Child and Environment","კერძო","Private",,,,,,"Private","0-18","0-18"
"იმერეთი","Imereti","3/17","3/17",,,"9 აპრილის","9 April","წყალტუბო","Tskaltubo",,,"womansukhumi@gmail.com","womansukhumi@gmail.com","597 54 92 92","597 54 92 92","1) იურიდიული კონსულტაცია, 2) ფსიქოლოგის კონსულტაცია","1. Legal Consulting, 2) Psycologist's consulting","ფონდი ""სოხუმი"" წყალტუბოს ქალთა მხარდაჭერის ცენტრი","Foundation ""Sokhumi"" Women's Support Centre in Tskhaltubo","კერძო","Private",,,,,,"Private","18-29","18-29"
"იმერეთი","Imereti",1,1,"1 შესახვევი","1st turn","ირაკლი აბაშიძის","Irakli Abashidze","ხონი","Khoni",,,"womansukhumi@gmail.com","womansukhumi@gmail.com","579 70 84 84 | 571  85 42 42","579 70 84 84 | 571  85 42 42","1) იურიდიული კონსულტაცია, 2) ფსქილოგის კონსულტაცია","1. Legal Consulting, 2) Psycologist's consulting","ფონდი ""სოხუმი"" ხონის ქალთა მხარდაჭერის ცენტრი ","Foundation ""Sukhumi"" Women's Support Centre in Khoni","კერძო","Private",,,,,,"Private","18-29","18-29"
"იმერეთი","Imereti",8,8,"მე-4 შესახვი","4-th Lane"," გრიშაშვილის","Grishashvili","ქუთაისი","Kutaisi",,,"kutaisi.youth@mail.com  | admin@kedec.ge","kutaisi.youth@mail.com  | admin@kedec.ge","431 25 13 30 | 591 17 17 71","431 25 13 30 | 591 17 17 71","1. შშმ პირთა განათლებისა და დასაქმების თანაბარი ხელმისაწვდომობის ადვოკატირების საპილოტე პროგრამა; 2. პროექტი ""ეს მუშაობს""; 3. პროგრამა ""მომავლის თაობა""; 4. ინგლისური ენის შესწავლის სასტიპენდიანტო პროგრამა; 5. ""ეროვნული ინტეგრაციის გაძლიერება საქართველოში""; 6. ""შიდსის, ალკოჰოლის, ნარკოტიკის და თამბაქოს მოხმარებისგან თავისუფალი და დაცული ჯანსაღი თაობა""; 7. ""ახალგაზრდებში ჯანსაღი ცხოვრების დამკვიდრების ხელშეწყობა"".","1. Pilot program advocating education and equal access to employment for persons with disabilities ;2. The project named  It Works; 3. The program - Future Generation; 4. Shcolarship program for learning the English language; 5. Strengthening the National Integration in Georgia; 6. Protected an Healthy Generation free of HIV, alcohol, drug and tobacco use; 7. Promoting  Healthy Lifestyle among Young People. ","ქუთაისის განათლების, განვითარებისა და დასაქმების ცენტრი","Education, Development and Employment Center","კერძო","Private",,,,,,"Private","0-29","0-29"
"იმერეთი","Imereti",3,3,,,"ახალგაზრდობის შესახვვევი","Akhalgazrdobis Lane","ქუთაისი","Kutaisi",,,"lela.barabadze@sos-kd.ge.","lela.barabadze@sos-kd.ge.","431 22 07 564","431 22 07 564","ქუთაისის ოჯახის გაძლიერების პროექტი: მოიცავს ფსიქო-სოციალურ მხარდაჭერას, დასაქმებას და თვით-დასაქმებაში ხელშეწყობას.","The Family Strengthening Project in Kutaisi: includes psycho-social support, assistance in employment and self-employment.","საქართველოს SOS ბავშვთა სოფელი","SOS Children's Village of Georgia","კერძო","Private",,,"ახორციელებს","Implements",,"Private","0-18","0-18"
"თბილისი","Tbilisi","65ა","65a",,,"ქეთევან წამებულის გამზირი","Ketevan Tsamebuli Avenue",,,,,"tamar.ivaniadze@sos-kd.ge |  marina.shagashvili@sos-kd.ge","tamar.ivaniadze@sos-kd.ge |  marina.shagashvili@sos-kd.ge","32 2479 433","32 2479 433","თბილისის ოჯახის გაძლიერების პროექტი მოიცავს ფსიქო-სოციალურ მხარდაჭერას, დასაქმებასა და თვითდასაქმებაში ხელშეწყობას და 2 დედათა და ბავშვთა თავშესაფრის 24 საათიანი/სადღეღამისო მომსახურების შეთავაზებას.","Family strengthening program in Tbilisi involves psycho-social support, assistance in  employment and self-employment and 24-hour service offering for 2 mothers and children's shelter.","საქართველოს SOS ბავშვთა სოფელი","SOS Children's Village of Georgia","კერძო","Private",,,"ახორციელებს","Implements",,"Private","0-18","0-18"
"სამეგრელო - ზემო სვანეთი","Samegrelo-Upper Svaneti",93,93,,,"რუსთაველის","Rustaveli","ზუგდიდი","Zugdidi",,,"tamar.meskhia@sos-kd.ge.","tamar.meskhia@sos-kd.ge.","431 22 075 64","431  22 075 64","ზუგდიდის ოჯახის გაძლიერების პროექტი: ფსიქო-სოციალური დახმარება, ფსიქოლოგის კონსულტაცია ბავშვებისა და მშობლებისათვის, არტ-თერაპიის ტრენინგები, მშობელთა კლუბი, პროფესიული განათლების მიღება, დასაქმებაში ხელშეწყობა, სასწავლო წრეები ბავშვებისთვის, ოჯახების სოფლის მეურნების განვითარებაში ხელშეწყობა.","Zugdidi Family Strengthening Project: psycho-social support, psychological counseling for children and parents, art-therapy training, parents' club, professional education, employment, learning courses for children,  promoting development of agriculture for families.","საქართველოს SOS ბავშვთა სოფელი","SOS Children's Village of Georgia","სახელმწიფო","State",,,"ახორციელებს",,,"State","0-18","0-18"
"რაჭა-ლეჩხუმი-ქვემო სვანეთი","Racha – Lechkhumi – Lower Svaneti",10,10,,,"გურგენიძის","Gurgenidze","ამბროლაური","Ambrolauri",,,"koleji.erqvani@gmail.com ","koleji.erqvani@gmail.com ","439 22 11 34 | 555 11 51 88","439 22 11 34 | 555 11 51 88",,,"პროფესიული კოლეჯი ”ერქვანი”","Professional College Erkvani","სახელმწიფო","State","შშმ ","Disability",,,,"State","0-29","0-29"
"სამეგრელო - ზემო სვანეთი","Samegrelo-Upper Svaneti",7,7,,,"26 მაისის","26th May","ფოთი","Poti",,,"vasha13@rambler.ru","vasha13@rambler.ru","577 12 25 53","577 12 25 53","ემოციური და ქცევითი დარღვევების მქონე სკოლის მოსწავლეების ფსიქო-სოციალური დახმარება.","Psycho-social assistance to the schoolchildren with emotional and behavioral disorders. ","სსიპ მანდატურის სამსახურის ფსიქოლოგიური მომსახურეობის ფოთის ცენტრი","LEPL Office of Resource Officers Psychological Service Centre of Poti","სახელმწიფო","State",,,"ახორციელებს","Implements",,"State","6-18","6-18"
"სამეგრელო - ზემო სვანეთი","Samegrelo-Upper Svaneti",93,93,,,"რუსთაველის","Rustaveli","ზუგდიდი","Zugdidi",,,"info@ssa.gov.ge","info@ssa.gov.ge"," 591 21 77 55"," 591 21 77 55","შშმ ბავშვთა დღის ცენტრი. ბავშვთა ადრეული განვითარების ქვეპროგრამა.ქვეპროგრამის ამოცანაა განვითარების შეფერხების რისკის ან შეზღუდული შესაძლებლობების მქონე ბავშვების განვითარების სტიმულირება და სოციალური ინტეგრაციის ხელშეწყობა, ბავშვისა და ოჯახის გაძლიერება, შესაძლებლობის შეზღუდვისა და მიტოვების პრევენცია. ","Day Centre for Children with disabilities. The subprogram - early child development. The program aims to stimulate the development and support the social integration of children with developmental delay risk and children with disabilities, strengthening a child and family, and preventing disability and abandonment. ","""კოალიცია სოციალური რეფორმებისათვის""","Coallition for Social Reforms","სახელმწიფო","State","შშმ ",,,,,"State","0-6","0-6"
"სამეგრელო - ზემო სვანეთი","Samegrelo-Upper Svaneti",92,92,,,"რუსთაველის","Rustaveli","ზუგდიდი","Zugdidi",,,"kristina-kilanava@yandex.ru","kristina-kilanava@yandex.ru","599 91 93 22","599 91 93 22","არაფორმალური განათლება: ახალგაზრდა დევნილი გოგონების ინფორმირება და განათლება: იურიდიული კონსულტაცია, საკუთარ უფლებებზე, ფსიქოლოგის კონსულტაცია, რეპროდუქციული ჯანმრთელობის საკითხები","Informal Education; inform and educate young internally displaced girls; legal consulting regarding ones rights, psycologist's consulting, reproductive health issues. ","ასოციაცია ""იმედი""","Association Imedi","კერძო","Private",,,"ახორციელებს","Implements",,"Private","14-29","14-29"
"აჭარა","Adjara",66,66,51,51,"გორგილაძის","Gorgiladze","ბათუმი","Batumi",,,"Zoria2003@list.ru","Zoria2003@list.ru","422 27 18 91 | 595 27 51 54","422 27 18 91 | 595 27 51 54","1)არაფორმალური განათლება,2)განათლება სპეციალური საჭიროების მიხედვით,3)ფსიქოლოგის კონსულტაციები,4) სხვა სპეციალისტის კონსულტაციები,5) დღის ცენტრი,6) ფსიქო- სოციალური დახმარება,7) ისეთი სახის სამედიცინო სერვისები, 8)რომლებიც მორგებულია სპეციალური საჭიროებების მქონე პირებზე.","1. Informal Education; 2. Education based on special needs; 3. Psychologists' consultations; 4.  Consulting by other specialists; 5. Day Care Center; 6. Psycho-social assistance; 7.  Types of medical services customized for the persons with special needs. ","კავშირი ""იმედი""","Union Imedi","სახელმწიფო","State",,,"ახორციელებს","Implements",,"State","18-29","18-29"
